date,account,department,amount
2026-01-01,Revenue,Sales,16000
2026-01-01,COGS,Operations,5200
2026-01-02,Revenue,Sales,16200
2026-01-02,COGS,Operations,5250
2026-01-03,Revenue,Sales,16500
2026-01-03,COGS,Operations,5300
2026-01-04,Revenue,Sales,16800
2026-01-04,COGS,Operations,5400
2026-01-05,Revenue,Sales,17000
2026-01-05,COGS,Operations,5450
2026-01-06,Revenue,Sales,17200
2026-01-06,COGS,Operations,5500
2026-01-07,Revenue,Sales,17500
2026-01-07,COGS,Operations,5550
2026-01-08,Revenue,Sales,17800
2026-01-08,COGS,Operations,5600
2026-01-09,Revenue,Sales,18000
2026-01-09,COGS,Operations,5650
2026-01-10,Revenue,Sales,18250
2026-01-10,COGS,Operations,5700
2026-01-11,Revenue,Sales,18500
2026-01-11,COGS,Operations,5750
2026-01-12,Revenue,Sales,18800
2026-01-12,COGS,Operations,5800
2026-01-13,Revenue,Sales,19000
2026-01-13,COGS,Operations,5850
2026-01-14,Revenue,Sales,19250
2026-01-14,COGS,Operations,5900
2026-01-15,Revenue,Sales,19500
2026-01-15,COGS,Operations,5950
2026-01-16,Revenue,Sales,19800
2026-01-16,COGS,Operations,6000
2026-01-17,Revenue,Sales,20000
2026-01-17,COGS,Operations,6050
2026-01-18,Revenue,Sales,20250
2026-01-18,COGS,Operations,6100
2026-01-19,Revenue,Sales,20500
2026-01-19,COGS,Operations,6150
2026-01-20,Revenue,Sales,20800
2026-01-20,COGS,Operations,6200
2026-01-21,Revenue,Sales,21000
2026-01-21,COGS,Operations,6250
2026-01-22,Revenue,Sales,21250
2026-01-22,COGS,Operations,6300
2026-01-23,Revenue,Sales,21500
2026-01-23,COGS,Operations,6350
2026-01-24,Revenue,Sales,21800
2026-01-24,COGS,Operations,6400
2026-01-25,Revenue,Sales,22000
2026-01-25,COGS,Operations,6450
2026-01-26,Revenue,Sales,22250
2026-01-26,COGS,Operations,6500
2026-01-27,Revenue,Sales,22500
2026-01-27,COGS,Operations,6550
2026-01-28,Revenue,Sales,22800
2026-01-28,COGS,Operations,6600
2026-01-29,Revenue,Sales,23000
2026-01-29,COGS,Operations,6650
2026-01-30,Revenue,Sales,23250
2026-01-30,COGS,Operations,6700
